Ref,Val,Package,PosX,PosY,Rot,Side
C10,0.1uf,C0805,71.43,-49.715,90,bottom
C12,1nf,C0805,73.597393,-49.815,90,bottom
C13,22pf,C0805,75.724846,-49.815,90,bottom
D1,MB6S,SOIC4,76.296893,-74.971707,180,bottom
D3,F7,D_SOD-123,67.28,-66.165,180,bottom
R1,2.2R,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,85.33,-70.915,-90,bottom
R2,10R,R0805,66.83,-63.765,180,bottom
R7,510k,R0805,77.824293,-70.549707,0,bottom
R8,510k,R0805,73.224293,-70.649707,0,bottom
R10,4.7K,R0805,71.48,-58.515,0,bottom
R11,4.7K,R0805,66.48,-58.515,0,bottom
R13,22K,R0805,76.62,-54.615,90,bottom
R14,5.6K,R0805,74.48,-54.515,-90,bottom
R16,2.2k,R0805,77.745899,-50.30341,90,bottom
